interval,Open,High,Low,Close,Volume
2025-01-01 10:30:00,14674393.0,14696243.0,14674393.0,14679922.0,1.7799999999999998
2025-01-01 10:45:00,14681400.0,14694895.0,14658515.0,14671632.0,1.21
2025-01-01 11:00:00,14670618.0,14670618.0,14652702.0,14659376.0,0.53
2025-01-01 11:15:00,14661324.0,14666016.0,14637536.0,14657782.0,1.03
2025-01-01 11:30:00,14659872.0,14684617.0,14659872.0,14684617.0,0.83
2025-01-01 11:45:00,14686146.0,14703315.0,14672451.0,14701113.0,3.5500000000000003
2025-01-01 12:00:00,14706826.0,14722189.0,14678000.0,14680674.0,1.0
2025-01-01 12:15:00,14678000.0,14694300.0,14670425.0,14677302.0,2.49
2025-01-01 12:30:00,14681278.0,14757320.0,14674630.0,14748048.0,3.56
2025-01-01 12:45:00,14742239.0,14750479.0,14722192.0,14722192.0,2.57
2025-01-01 13:00:00,14728137.0,14732820.0,14707190.0,14726814.0,1.79
2025-01-01 13:15:00,14726584.0,14741633.0,14700469.0,14701507.0,1.62
2025-01-01 13:30:00,14701057.0,14751180.0,14684664.0,14723376.0,4.8
2025-01-01 13:45:00,14720000.0,14751025.0,14720000.0,14730639.0,1.3900000000000001
2025-01-01 14:00:00,14731673.0,14780749.0,14729712.0,14775201.0,1.32
2025-01-01 14:15:00,14775200.0,14838456.0,14769784.0,14799664.0,5.87
2025-01-01 14:30:00,14801542.0,14811933.0,14742329.0,14747013.0,5.69
2025-01-01 14:45:00,14747687.0,14782423.0,14702263.0,14757615.0,5.53
2025-01-01 15:00:00,14755479.0,14799181.0,14743427.0,14785410.0,4.65
2025-01-01 15:15:00,14787929.0,14800000.0,14733626.0,14743000.0,2.95
2025-01-01 15:30:00,14752108.0,14787421.0,14741815.0,14780141.0,1.93
2025-01-01 15:45:00,14777260.0,14793830.0,14764092.0,14791478.0,1.6300000000000001
2025-01-01 16:00:00,14795140.0,14828290.0,14788806.0,14812542.0,2.5500000000000003
2025-01-01 16:15:00,14811635.0,14826695.0,14782366.0,14782366.0,2.88
2025-01-01 16:30:00,14776767.0,14783847.0,14760500.0,14766606.0,1.5
2025-01-01 16:45:00,14772102.0,14778317.0,14749428.0,14758058.0,1.11
2025-01-01 17:00:00,14757997.0,14768352.0,14737125.0,14768352.0,0.89
2025-01-01 17:15:00,14763746.0,14770179.0,14727759.0,14727759.0,1.77
2025-01-01 17:30:00,14737670.0,14749932.0,14715963.0,14744161.0,1.91
2025-01-01 17:45:00,14748467.0,14764792.0,14747117.0,14754759.0,0.86
2025-01-01 18:00:00,14741110.0,14782980.0,14735886.0,14777850.0,0.83
2025-01-01 18:15:00,14771509.0,14780540.0,14747252.0,14754767.0,1.04
2025-01-01 18:30:00,14756884.0,14787683.0,14756884.0,14785442.0,0.45
2025-01-01 18:45:00,14782105.0,14798816.0,14779761.0,14787903.0,1.97
2025-01-01 19:00:00,14790726.0,14805101.0,14782094.0,14801200.0,2.12
2025-01-01 19:15:00,14797308.0,14807300.0,14788352.0,14798258.0,0.9
2025-01-01 19:30:00,14796383.0,14796383.0,14757390.0,14777453.0,1.76
2025-01-01 19:45:00,14779728.0,14806223.0,14759612.0,14805486.0,1.98
2025-01-01 20:00:00,14804584.0,14860596.0,14800434.0,14838300.0,10.76
2025-01-01 20:15:00,14839465.0,14869268.0,14838975.0,14858690.0,2.14
2025-01-01 20:30:00,14853554.0,14882312.0,14837257.0,14857659.0,2.0
2025-01-01 20:45:00,14863459.0,14871300.0,14847175.0,14863599.0,2.6399999999999997
2025-01-01 21:00:00,14861752.0,14879061.0,14860861.0,14861767.0,1.77
